category,difficulty,question,option_a,option_b,option_c,option_d,correct
Accounting,Beginner,What does EBITDA stand for?,"Earnings Before Interest, Taxes, Depreciation and Amortization",Equity Based Interest Tax Deduction Account,Expected Business Income Total Debt Adjustment,Earnings Before Income Tax Deduction Allowance,A
Accounting,Beginner,Which financial statement shows a company's revenues and expenses?,Balance Sheet,Income Statement,Cash Flow Statement,Statement of Equity,B
Accounting,Beginner,What is the accounting equation?,Assets = Liabilities + Equity,Revenue = Expenses + Profit,Assets = Equity - Liabilities,Income = Cash + Receivables,A
Accounting,Beginner,What is goodwill on a balance sheet?,The market value of the brand,The excess of purchase price over fair value of net identifiable assets acquired,The accumulated retained earnings,The premium paid above book value of equity,B
Accounting,Beginner,Which inventory method generally produces the highest net income during inflation?,LIFO,FIFO,Weighted average,Specific identification,B
Accounting,Intermediate,"Under IFRS 16, how is an operating lease treated by the lessee?",Off-balance sheet with rental expense,Recognized as a right-of-use asset and lease liability,Capitalized only if the lease term exceeds 5 years,Treated as a contingent liability in the notes,B
Accounting,Intermediate,"Under IFRS, how should development costs be treated when technical and commercial feasibility are demonstrated?",Expensed as incurred,Capitalized as an intangible asset,Deferred and amortized over 40 years,Recognized only when revenue is earned,B
Accounting,Intermediate,Which of the following typically creates a deferred tax liability?,Tax loss carryforwards,Accelerated tax depreciation versus straight-line book depreciation,Provisions for warranties not yet deductible,Unused tax credits,B
Accounting,Intermediate,"Under the equity method, how is an investee's reported profit treated by the investor?",Recognized as dividend income when received,Recognized proportionally as an increase in the investment carrying value,Recorded as other comprehensive income only,Ignored until the investment is sold,B
Accounting,Expert,"Under IFRS 9, how are expected credit losses on trade receivables typically measured?",Using a 12-month expected credit loss model,Using a lifetime expected credit loss model under the simplified approach,Only when objective evidence of impairment exists,At fair value through profit or loss,B
Accounting,Expert,"A company changes its inventory method from FIFO to weighted average. Under IFRS, this is treated as:",A change in accounting estimate applied prospectively,A change in accounting policy applied retrospectively,A correction of a prior period error,A reclassification with no restatement,B
Accounting,Expert,"Under IFRS 15, when is revenue from a performance obligation recognized?",When cash is received,When the contract is signed,When control of the good or service transfers to the customer,At the end of the reporting period,C
Corporate Finance,Beginner,What is the formula for Net Present Value (NPV)?,Future Cash Flows minus Initial Investment,Sum of discounted future cash flows minus initial investment,Total Revenue minus Total Costs,Current Value plus Interest,B
Corporate Finance,Beginner,What does WACC stand for?,Weighted Average Capital Calculation,Working Asset Capital Cost,Weighted Average Cost of Capital,Weekly Adjusted Capital Charge,C
Corporate Finance,Beginner,What is the primary purpose of the WACC?,Measure profitability,Discount future cash flows in valuation,Calculate dividend yield,Determine working capital needs,B
Corporate Finance,Beginner,"Which of the following increases free cash flow to the firm (FCFF), all else equal?",An increase in working capital,An increase in capex,A decrease in operating expenses,An increase in interest expense,C
Corporate Finance,Intermediate,"In the CAPM, what does beta measure?",The company's profitability,The asset's volatility relative to the market,The risk free rate of return,The dividend payout ratio,B
Corporate Finance,Intermediate,The Modigliani-Miller theorem in its original form (no taxes) states that:,Capital structure is irrelevant to firm value,Higher leverage always increases firm value,Equity is always cheaper than debt,Dividend policy maximizes firm value,A
Corporate Finance,Intermediate,"In a DCF valuation, which terminal value method assumes constant perpetual growth?",Exit multiple method,Gordon Growth Model,Liquidation value method,Replacement cost method,B
Corporate Finance,Intermediate,A firm has D/E = 1 and tax rate of 25%. Cost of equity = 12% and pre-tax cost of debt = 6%. What is the WACC?,7.50%,8.25%,8.75%,9.00%,B
Corporate Finance,Intermediate,Which of the following is most consistent with the pecking order theory of capital structure?,Firms target a fixed debt-to-equity ratio,"Firms prefer internal financing, then debt, then equity as a last resort",Firms always issue equity when stock prices are high,Firms minimize the use of retained earnings,B
Corporate Finance,Expert,"A levered firm has equity beta = 1.4, D/E = 0.5, and tax rate = 25%. What is the unlevered (asset) beta using Hamada?",0.93,1.02,1.07,1.20,B
Corporate Finance,Expert,"In an LBO, which factor typically has the largest impact on equity returns to the sponsor?",The choice of accounting method,Multiple expansion at exit,The legal structure of the holding company,Working capital optimization,B
Corporate Finance,Expert,"Under the adjusted present value (APV) method, the value of a levered firm equals:",Unlevered firm value plus PV of tax shields minus financial distress costs,WACC-discounted free cash flows plus terminal value,Equity value plus market value of debt,Free cash flow to equity discounted at the cost of equity,A
Valuation,Beginner,Which multiple is most appropriate for comparing capital-intensive firms with different leverage?,P/E,EV/EBITDA,Price-to-Book,Dividend Yield,B
Valuation,Intermediate,"A company has FCFF of 100, expected to grow at 3% perpetually, and WACC of 9%. What is the firm value (Gordon Growth)?",1111,1429,1717,2000,C
Valuation,Expert,"When applying a control premium in M&A valuation, the premium is typically added to:",Enterprise value derived from comparable companies,The minority-interest equity value,The discounted cash flow value with synergies excluded,The book value of equity,B
Markets,Beginner,What does a high P/E ratio typically suggest?,The company is undervalued,Investors expect high future growth,The company has low earnings,The stock is risk free,B
Markets,Beginner,What is a bull market?,A market with falling prices,A market with rising prices,A market with no movement,A market closed for trading,B
Markets,Intermediate,What does an inverted yield curve typically signal?,Strong economic expansion ahead,A potential upcoming recession,Imminent inflation acceleration,Currency appreciation,B
Markets,Intermediate,A bond's modified duration measures:,The bond's time to maturity,The percentage price change for a 1% change in yield,The convexity of the bond,The credit spread relative to treasuries,B
Markets,Expert,What is the main difference between a forward and a futures contract?,"Forwards are exchange traded, futures are not",Futures have no expiration date,"Futures are standardized and exchange traded, forwards are not",There is no real difference,C
Markets,Expert,"All else equal, an increase in expected stock price volatility will:",Decrease the value of both calls and puts,Increase the value of calls and decrease the value of puts,Increase the value of both calls and puts,Have no effect on option prices,C
